method,head_share,head_fraction,num_seeds,num_head_items,num_tail_items,test_head_share,test_tail_share,lr,dropout,weight_decay,gamma,n_experts,final_epochs,best_val_HR@50,overall_HR@50,overall_NDCG@50,head_HR@50,head_NDCG@50,tail_HR@50,tail_NDCG@50,CatalogCoverage@50,TailCoverage@50,AvgPopularity@50,TailRatio@50,Personalization@50
CDN,0.100%,0.001,5,33,33112,2.73%,97.27%,0.001,0.7,0.1,10.0,2,20,4.04 ± 0.03,3.49 ± 0.01,1.09 ± 0.02,100.00 ± 0.00,34.79 ± 0.59,0.78 ± 0.01,0.15 ± 0.00,0.37 ± 0.01,0.27 ± 0.01,5.9484 ± 0.0027,38.48 ± 0.00,9.71 ± 0.24
CDN,0.500%,0.005,5,165,32980,6.43%,93.57%,0.001,0.7,0.1,10.0,2,20,4.04 ± 0.03,3.49 ± 0.01,1.09 ± 0.02,54.22 ± 0.10,16.98 ± 0.27,0.00 ± 0.00,0.00 ± 0.00,0.37 ± 0.01,0.00 ± 0.00,5.9484 ± 0.0027,0.00 ± 0.00,9.71 ± 0.24
CDN,1.000%,0.01,5,331,32814,10.34%,89.66%,0.001,0.7,0.1,10.0,2,20,4.04 ± 0.03,3.49 ± 0.01,1.09 ± 0.02,33.76 ± 0.06,10.57 ± 0.17,0.00 ± 0.00,0.00 ± 0.00,0.37 ± 0.01,0.00 ± 0.00,5.9484 ± 0.0027,0.00 ± 0.00,9.71 ± 0.24
CDN,5.000%,0.05,5,1657,31488,28.94%,71.06%,0.001,0.7,0.1,10.0,2,20,4.04 ± 0.03,3.49 ± 0.01,1.09 ± 0.02,12.06 ± 0.02,3.78 ± 0.06,0.00 ± 0.00,0.00 ± 0.00,0.37 ± 0.01,0.00 ± 0.00,5.9484 ± 0.0027,0.00 ± 0.00,9.71 ± 0.24
CDN,20.000%,0.2,5,6629,26516,53.70%,46.30%,0.001,0.7,0.1,10.0,2,20,4.04 ± 0.03,3.49 ± 0.01,1.09 ± 0.02,6.50 ± 0.01,2.03 ± 0.03,0.00 ± 0.00,0.00 ± 0.00,0.37 ± 0.01,0.00 ± 0.00,5.9484 ± 0.0027,0.00 ± 0.00,9.71 ± 0.24
