trial,status,error,lr,dropout,weight_decay,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50
10,ok,,0.001,0.1,0.0,3,6040,6040,6.723800391577091,11.473509933774835,2.9304635761589406,1.4340778120449804,11.473509933774835,3.239687700971336,3.5495062716840136,1.7560185309369523,13.023752335201493,3.7765932101289015,1.9188835586567816,0.9079932618102584,8.940252943741823,2.3623283713536303,94.76524554776039,93.72681281618887,5.248278555691206,57.13245033112583,99.16239312021528,100.0,100.0,5.134648365158784,61.80496688741722,96.95499287742258
1,ok,,0.01,0.1,0.0,3,6040,6040,6.727718646595587,10.364238410596025,2.4172185430463577,1.163274852624718,10.364238410596025,2.8352710320630097,3.2292500667200428,1.5640175940241272,12.463303976514545,3.5054732736903405,1.0902747492368077,0.5084196184234151,6.934147405146097,1.7400910061678492,90.7447382622774,88.60033726812816,5.34356285299203,52.8046357615894,99.12252094279019,99.6492174851592,99.56155143338955,5.26207716776627,56.70165562913907,96.71094376618207
12,ok,,0.001,0.1,0.001,3,6040,6040,6.757581776108484,7.218543046357616,1.5894039735099337,0.6801118454411993,7.218543046357616,1.8679448263212672,1.921537229783827,0.8486035966518525,7.7395249532959705,2.084623707858977,1.0466637592673353,0.4047788355038606,6.367204535542957,1.5138690438869904,90.79870480302212,89.84822934232714,5.026045856744238,64.95529801324503,99.23787379823641,99.94603345925526,100.0,4.8940865977113255,68.7225165562914,97.31085197869479
21,ok,,0.0001,0.1,0.001,3,6040,6040,6.782481139626245,6.390728476821192,1.456953642384106,0.6191134489788438,6.390728476821192,1.6675549989073422,1.7880971443821725,0.7318759286560754,6.885508406725379,1.8187361950188572,0.9158307893589185,0.4348478530998262,5.582206716092456,1.4205092327364535,70.83108472746898,68.22934232715009,4.716255633452268,71.28973509933775,98.75241833161712,97.8953049109552,97.60539629005059,4.691101555967325,73.3523178807947,97.09038918113937
19,ok,,0.0001,0.1,0.0,3,6040,6040,6.781733913045701,5.082781456953643,1.1920529801324504,0.5680142574982654,5.082781456953643,1.3885243191794991,1.0942087002935683,0.49532519319599666,4.483586869495596,1.2084066935856534,1.3519406890536414,0.6867957332682615,6.061927605756651,1.6828552145567954,85.80679978413383,84.78920741989882,4.788934359445133,78.67880794701986,99.3185332863978,98.40798704803022,98.27993254637437,4.703387220743065,81.14205298013245,97.7444063915674
24,ok,,0.0001,0.3,0.001,3,6040,6040,6.931512433958251,4.801324503311259,1.1258278145695364,0.45773529270176827,4.801324503311259,1.2335119787021882,1.4678409394182013,0.5973137505857532,6.3784360821990935,1.6340631752211066,0.56694286960314,0.22964960509108734,2.2241604884430877,0.5789697487168475,0.9174311926605505,0.5059021922428331,5.830721841494803,52.84933774834437,18.427100228207603,3.7506745817593092,2.833052276559865,5.6884004995673445,50.931788079470195,15.546195315438604
22,ok,,0.0001,0.3,0.0,3,6040,6040,6.881706295666358,3.543046357615894,0.7781456953642384,0.35780339230589614,3.543046357615894,0.9417527155753173,0.3469442220443021,0.15813506411406986,2.8823058446757406,0.6874465164023642,1.4827736589620584,0.6840821649769704,4.622764936764065,1.3573154405212637,52.07771181867243,50.48903878583474,4.7975894213630985,80.05960264900662,98.06621419931592,78.25148407987048,77.06576728499157,4.750810670009135,79.57516556291391,95.47260675367288
13,ok,,0.001,0.3,0.0,3,6040,6040,6.803013535456044,3.47682119205298,0.9105960264900662,0.39304783618392863,3.47682119205298,0.9255331073814658,0.9073925807312517,0.404581137280338,3.095809981318388,0.8561079766376329,0.9158307893589185,0.3742012251031408,4.099433057130398,1.0389809769397482,73.98812736103616,75.10961214165262,4.347009362468401,85.20364238410596,99.3385121434736,97.51753912574203,98.54974704890388,4.403314321338832,84.29238410596027,98.16834329616873
16,ok,,0.001,0.7,0.0,3,6040,6040,6.93149827476359,2.4006622516556293,0.5794701986754967,0.24973010780323557,2.4006622516556293,0.6316896153046927,0.8273285294902588,0.3372094847194031,2.748865759274086,0.731132711409331,0.17444395987788924,0.10677972607411217,1.831661578717837,0.4691892746574708,0.6475984889368591,0.6408094435075885,4.5434652211151505,63.5728476821192,7.977882176449103,3.0221262817053427,2.799325463743676,4.857280218312196,72.55364238410597,8.782757440872746
4,ok,,0.01,0.3,0.0,3,6040,6040,6.824199687890492,2.28476821192053,0.38079470198675497,0.14408924297087594,2.28476821192053,0.5340674170179219,0.32025620496397117,0.1262027302821938,2.375233520149453,0.5451108155204079,0.4797208896641954,0.17331766121967312,2.136938508504143,0.5160213576246315,30.22126281705343,30.421585160202362,3.995637289269257,83.24172185430464,95.6297926611682,71.64058283864004,70.65767284991568,4.342561855597677,82.17483443708609,94.88863096275972
