trial,status,error,lr,dropout,weight_decay,alpha_max,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50
81,ok,,0.001,0.1,0.0,0.25,3,6040,6040,6.713514775656071,10.695364238410596,2.6158940397350996,1.2626873889483257,10.695364238410596,2.971891814104557,2.849462365591398,1.4242022617322172,10.833333333333334,3.1235305467450036,2.2413793103448274,1.003706644656913,10.474137931034482,2.728746949698323,96.65407447382623,95.91905564924114,5.1092105675336015,61.4751655629139,99.27842752791184,100.0,100.0,5.000600718743905,66.19503311258278,97.28463804256879
82,ok,,0.001,0.1,0.0,0.5,3,6040,6040,6.704139300896419,10.447019867549669,2.533112582781457,1.2447924285698413,10.447019867549669,2.9223193983143303,2.849462365591398,1.424566110246468,10.403225806451614,3.0298565652201734,2.025862068965517,0.956534628640077,10.517241379310345,2.7498891134480643,97.8953049109552,97.43676222596964,5.046903086474497,63.38576158940398,99.34516755877087,100.0,100.0,4.945903823811411,67.86688741721855,97.45867753641068
42,ok,,0.01,0.1,0.0,0.5,3,6040,6040,6.706902249720087,9.552980132450331,2.0860927152317883,0.9885166259116113,9.552980132450331,2.559806765436714,2.60752688172043,1.250494182369935,10.591397849462366,2.938200449026313,1.25,0.5684491646939549,7.887931034482759,1.9530720658878749,91.85105234754452,90.08431703204047,5.362691988179424,54.19205298013245,99.2518744057665,99.97301672962763,99.9662731871838,5.263375421509637,58.69006622516556,97.18112379905888
41,ok,,0.01,0.1,0.0,0.25,3,6040,6040,6.716377808345304,9.056291390728477,1.73841059602649,0.77854952577374,9.056291390728477,2.336015895871774,2.311827956989247,1.052069960012409,10.241935483870968,2.752453768778794,0.8189655172413793,0.3399736570807012,7.155172413793104,1.668279306555345,91.04155423637344,88.97133220910624,5.309816604382784,54.07284768211921,99.17155651619879,99.97301672962763,99.9662731871838,5.26297726731531,57.704304635761595,96.96941086031305
88,ok,,0.001,0.1,0.001,0.5,3,6040,6040,6.735027277123384,8.27814569536424,2.06953642384106,0.9448033094314674,8.27814569536424,2.2456790398829622,2.338709677419355,1.116775378845601,9.166666666666666,2.5580627436119876,1.6379310344827587,0.6690549912329428,6.8534482758620685,1.7447879287312493,85.7528332433891,83.70994940978078,5.276668805959902,56.91059602649007,98.91403997635678,99.70318402590394,99.6627318718381,5.129364206861889,62.3158940397351,96.57736171836704
87,ok,,0.001,0.1,0.001,0.25,3,6040,6040,6.745970248186737,8.245033112582782,2.218543046357616,1.1167423018525964,8.245033112582782,2.387879570593037,2.849462365591398,1.4452175900427253,9.35483870967742,2.8320011315440463,1.206896551724138,0.5900491673408376,6.4655172413793105,1.6757536194129694,82.91958985429034,80.37099494097808,5.205644177379471,56.83278145695364,98.83869802136006,99.27145169994603,99.12310286677909,5.065990699113649,61.89635761589404,96.34659382885417
2,ok,,0.1,0.1,0.0,0.5,3,6040,6040,6.723310087231679,7.201986754966887,1.95364238410596,0.9990919993816149,7.201986754966887,2.1064797456249504,2.0967741935483875,1.0603403183639546,7.661290322580645,2.2354896230802126,1.7241379310344827,0.9008834879099323,6.4655172413793105,1.899619080050132,93.49703184025904,92.61382799325463,4.792790750096271,67.42384105960265,99.27094306434226,100.0,100.0,4.746016497279495,70.68774834437086,97.4638922061786
127,ok,,0.0001,0.1,0.001,0.25,3,6040,6040,6.765657125666923,7.185430463576159,2.019867549668874,1.0305879219671301,7.185430463576159,2.1262329797650836,2.231182795698925,1.1688825164147623,7.634408602150537,2.315834819179481,1.6810344827586206,0.80883969293903,6.4655172413793105,1.822216237255792,81.11171073934162,79.15682967959528,4.857391072610113,68.29801324503312,98.98915657497788,99.54128440366972,99.52782462057336,4.715750954949742,73.65099337748345,97.29475199284123
141,ok,,0.0001,0.5,0.01,0.25,3,6040,6040,6.931507382650098,6.7218543046357615,2.4172185430463577,1.0227586452160178,6.7218543046357615,1.9536323642142979,3.790322580645161,1.6027547387431225,10.21505376344086,3.0018927186736675,0.21551724137931033,0.09276490904324627,1.1206896551724137,0.2728011062018598,1.6999460334592553,0.3709949409780776,7.073451756845101,14.152317880794701,43.70571144075649,4.991905018888289,2.563237774030354,6.528338936569245,21.5658940397351,27.14891593165396
1,ok,,0.1,0.1,0.0,0.25,3,6040,6040,6.748512268561051,6.556291390728476,1.8211920529801324,0.7867469496061998,6.556291390728476,1.7954322270726033,2.1236559139784945,0.9691498596468789,7.016129032258064,2.0105539090076987,1.3362068965517242,0.49427331798924895,5.818965517241379,1.450495737073226,91.12250404749057,89.84822934232714,4.7437360872089185,67.53807947019868,99.29839267717891,100.0,100.0,4.7159894081974505,70.03410596026491,97.44584987865848
128,ok,,0.0001,0.1,0.001,0.5,3,6040,6040,6.754738122595791,6.440397350993378,1.903973509933775,0.9232024821777278,6.440397350993378,1.8886023664884461,2.0967741935483875,1.0280981339848572,6.209677419354839,1.9021226437557315,1.5948275862068966,0.7550077301421584,6.810344827586206,1.8669233012150406,84.72746896923907,82.83305227655985,4.751201392136455,71.0115894039735,99.19068768238239,99.78413383702105,99.76391231028667,4.610680915593933,76.5023178807947,97.67507163700844
142,ok,,0.0001,0.5,0.01,0.5,3,6040,6040,6.931502272479267,5.529801324503311,1.7218543046357615,1.036737353442134,5.529801324503311,1.8466613583859894,2.741935483870968,1.6639568484815483,8.521505376344086,2.8916115749415416,0.08620689655172414,0.03102333553410694,0.7327586206896551,0.17113773528829387,1.457096600107933,0.6070826306913997,6.793381064885395,22.264900662251655,34.29083144988041,5.531570426335672,3.811129848229342,6.144732716975874,36.48940397350993,24.552495314670974
121,ok,,0.0001,0.1,0.0,0.25,3,6040,6040,6.7653505040402235,5.397350993377483,1.2748344370860927,0.6052722011469878,5.397350993377483,1.479623030633236,1.021505376344086,0.48145268358053783,4.005376344086022,1.120435606778604,1.6810344827586206,0.8038103931069853,7.629310344827586,2.055561486124284,83.72908796546142,83.035413153457,4.725696768300119,81.02649006622516,99.41248276928441,97.65245547760388,97.53794266441821,4.650219424476531,82.81622516556291,98.10179967079327
158,ok,,0.0001,0.9,0.01,0.5,3,6040,6040,6.931538816309569,5.248344370860927,1.95364238410596,1.0264273905096417,5.248344370860927,1.755520053117091,3.0913978494623655,1.6365515998476516,7.580645161290322,2.641356779736773,0.12931034482758622,0.048124778984901286,1.5086206896551724,0.3351266811234637,1.5110631408526713,0.7082630691399663,6.819143362453804,18.17549668874172,38.320954085420475,4.452239611440906,3.102866779089376,6.215886018599944,38.784437086092716,22.14794837968218
122,ok,,0.0001,0.1,0.0,0.5,3,6040,6040,6.754808250799218,5.1490066225165565,1.2748344370860927,0.5780195235223785,5.1490066225165565,1.407736938358752,1.1021505376344085,0.47375484561690334,3.8172043010752685,1.060403236569029,1.5517241379310345,0.7452025415432266,7.28448275862069,1.9646685636422727,85.69886670264437,85.12647554806071,4.703550913452025,81.61092715231788,99.4391395224638,98.03022126281705,98.11129848229342,4.618631549719537,83.2569536423841,98.15639721501192
89,ok,,0.001,0.3,0.0,0.25,3,6040,6040,6.793988194703067,3.69205298013245,0.7450331125827815,0.29700552300148914,3.69205298013245,0.9091283751406041,0.510752688172043,0.21182961919615667,3.0913978494623655,0.7438927815192864,1.1206896551724137,0.4335806791031428,4.655172413793104,1.1740751028437513,80.41014570966001,81.68634064080945,4.411929724174066,84.71854304635762,99.41900768624251,98.35402050728548,98.75210792580101,4.41130845968981,84.76324503311258,98.25197189570221
133,ok,,0.0001,0.3,0.01,0.25,3,6040,6040,6.931491065322116,3.5596026490066226,0.5298013245033113,0.22358363199192216,3.5596026490066226,0.841634892582566,0.8333333333333334,0.3540623128757732,5.134408602150538,1.2302450814309138,0.04310344827586207,0.014367816091954023,1.0344827586206897,0.21851855529124967,0.8634646519158122,0.4721753794266442,5.501103102113993,43.69039735099338,18.247791672012713,7.852131678359417,7.318718381112984,5.8694077644069935,45.781788079470196,21.263797896454506
155,ok,,0.0001,0.9,0.1,0.25,3,6040,6040,6.9315773139850725,3.47682119205298,1.1920529801324504,0.5371262027418122,3.47682119205298,1.0022894363341814,1.747311827956989,0.803078702837943,4.865591397849462,1.4303388001535504,0.3017241379310345,0.11068512500146468,1.25,0.31593442193415877,1.2142471667566108,0.7082630691399663,6.393563282881697,36.48344370860927,28.355769178046884,3.831624392876417,2.9342327150084317,5.737573004860195,50.76688741721854,15.609494686305025
