method,head_share,head_fraction,num_seeds,num_head_items,num_tail_items,test_head_share,test_tail_share,lr,dropout,weight_decay,cb_beta,best_val_HR@50,overall_HR@50,overall_NDCG@50,head_HR@50,head_NDCG@50,tail_HR@50,tail_NDCG@50,CatalogCoverage@50,TailCoverage@50,AvgPopularity@50,TailRatio@50,Personalization@50
ClassBalance,0.100%,0.001,5,33,33112,2.73%,97.27%,0.001,0.1,0.0,0.9999,0.37 ± 0.04,0.32 ± 0.03,0.08 ± 0.01,0.21 ± 0.46,0.04 ± 0.09,0.32 ± 0.03,0.08 ± 0.01,70.85 ± 11.13,70.90 ± 11.12,2.1461 ± 0.0280,99.99 ± 0.01,99.34 ± 0.42
ClassBalance,0.500%,0.005,5,165,32980,6.39%,93.61%,0.001,0.1,0.0,0.9999,0.37 ± 0.04,0.32 ± 0.03,0.08 ± 0.01,0.13 ± 0.30,0.03 ± 0.06,0.33 ± 0.03,0.09 ± 0.01,70.85 ± 11.13,71.13 ± 11.12,2.1461 ± 0.0280,99.96 ± 0.08,99.34 ± 0.42
ClassBalance,1.000%,0.01,5,331,32814,10.39%,89.61%,0.001,0.1,0.0,0.9999,0.37 ± 0.04,0.32 ± 0.03,0.08 ± 0.01,0.08 ± 0.18,0.02 ± 0.04,0.35 ± 0.03,0.09 ± 0.01,70.85 ± 11.13,71.39 ± 11.06,2.1461 ± 0.0280,99.91 ± 0.15,99.34 ± 0.42
ClassBalance,5.000%,0.05,5,1657,31488,28.48%,71.52%,0.001,0.1,0.0,0.9999,0.37 ± 0.04,0.32 ± 0.03,0.08 ± 0.01,0.05 ± 0.11,0.02 ± 0.04,0.43 ± 0.05,0.11 ± 0.02,70.85 ± 11.13,73.57 ± 10.34,2.1461 ± 0.0280,99.56 ± 0.64,99.34 ± 0.42
ClassBalance,20.000%,0.2,5,6629,26516,53.46%,46.54%,0.001,0.1,0.0,0.9999,0.37 ± 0.04,0.32 ± 0.03,0.08 ± 0.01,0.04 ± 0.05,0.01 ± 0.02,0.65 ± 0.08,0.16 ± 0.03,70.85 ± 11.13,81.69 ± 7.19,2.1461 ± 0.0280,96.52 ± 1.79,99.34 ± 0.42
