trial,status,error,method,lr,dropout,weight_decay,cb_beta,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
60,ok,,ClassBalance,0.001,0.9,0.001,0.9999,3,7102,7102,8.318201661920872,0.35201351731906505,0.08448324415657561,0.035917961652888505,0.35201351731906505,0.08872637027321072,0.15011258443832876,0.06382020606925548,0.5754315736802602,0.14554997628993566,0.0,0.0,0.06441223832528181,0.015578559242985422,0.06637501885653944,0.03771307889576105,3.8133080813675844,30.67727400732188,2.509341519677599,0.21421028812792275,0.1546236234726203,3.3001519310913996,50.675302731624896,1.4848562902460838,7102,3997,3105
41,ok,,ClassBalance,0.001,0.1,0.0,0.9999,3,7102,7102,7.867388822594467,0.18304702900591382,0.056322162771050406,0.02080889874115032,0.18304702900591382,0.04738410890484196,0.0,0.0,0.0,0.0,0.12882447665056362,0.047595748425007925,0.4186795491143317,0.10838065746930359,7.518479408658924,9.398099260823653,1.9677280316437458,100.0,94.48385449179956,16.24076029567054,20.300950369588172,1.9747279461212661,100.0,93.02721734211819,7102,3997,3105
63,ok,,ClassBalance,0.0001,0.1,0.01,0.9999,3,7102,7102,7.961418599498515,0.15488594762038863,0.028161081385525203,0.01205586013951031,0.15488594762038863,0.03841572242451184,0.0,0.0,0.0,0.0,0.06441223832528181,0.027575110695910534,0.35426731078904994,0.08786745914939874,0.03922160205159149,0.049027002564489365,1.6454642263783317,100.0,0.13482539078605305,0.1870568713229748,0.23382108915371852,1.7493272176414205,100.0,1.5358477954822591,7102,3997,3105
21,ok,,ClassBalance,0.01,0.1,0.0,0.9999,3,7102,7102,7.845467732877148,0.15488594762038863,0.056322162771050406,0.023831822940246522,0.15488594762038863,0.04477815779760506,0.0,0.0,0.0,0.0,0.12882447665056362,0.05451001820342377,0.35426731078904994,0.10242012131355593,10.930758787147383,13.659677176044651,1.9609221730416189,99.98591945930724,96.77986303030606,25.859103937245436,32.32010861366722,1.9739300321435855,99.97521824838074,96.14746389058129,7102,3997,3105
49,ok,,ClassBalance,0.001,0.5,0.0,0.9999,3,7102,7102,8.056040984432714,0.14080540692762603,0.028161081385525203,0.018319205796451438,0.14080540692762603,0.04255812216948669,0.0,0.0,0.0,0.0,0.06441223832528181,0.041901127074524355,0.322061191626409,0.09734228136801755,1.5145572484537637,1.8064564791069542,2.2934731872717466,91.85440720923683,26.274536398048976,4.564791069542917,5.457082516216624,2.2162251448069643,94.72880878625739,28.468680661863544,7102,3997,3105
79,ok,,ClassBalance,0.0001,0.9,0.01,0.9999,3,7102,7102,8.3223194005538,0.14080540692762603,0.042241622078287806,0.018138086966255434,0.14080540692762603,0.03593732808480328,0.02501876407305479,0.015785082651274894,0.20015011258443832,0.04741135496148924,0.06441223832528181,0.021167059026473537,0.06441223832528181,0.021167059026473537,0.03620455573993061,0.041484386785337155,2.607678102254929,90.08870740636439,0.46400943604429923,0.19912505656961835,0.19233670236838135,2.6635371741580762,80.10644888763728,0.5447786376802211,7102,3997,3105
33,ok,,ClassBalance,0.01,0.7,0.0,0.9999,3,7102,7102,8.007882092274777,0.14080540692762603,0.056322162771050406,0.04310907225633414,0.14080540692762603,0.060499853370499006,0.0,0.0,0.0,0.0,0.12882447665056362,0.09860245770192755,0.322061191626409,0.13838001888479354,0.03620455573993061,0.04525569467491326,2.5987743795508593,100.0,0.3597825017486178,0.16593754714134862,0.19987931814753357,2.504666156333361,96.0163334272036,0.46842161640006097,7102,3997,3105
29,ok,,ClassBalance,0.01,0.5,0.0,0.9999,3,7102,7102,7.931919798559072,0.12672486623486343,0.0,0.0,0.12672486623486343,0.024932575442302415,0.0,0.0,0.0,0.0,0.0,0.0,0.2898550724637681,0.05702774582648366,0.03620455573993061,0.04525569467491326,2.0296935378994276,100.0,3.1960067182084773,0.16593754714134862,0.20742193392668576,2.0239712619504697,100.0,1.8690878137550326,7102,3997,3105
57,ok,,ClassBalance,0.001,0.9,0.0,0.9999,3,7102,7102,8.322850318182082,0.12672486623486343,0.0,0.0,0.12672486623486343,0.029455862876387923,0.0,0.0,0.10007505629221916,0.02131842723976652,0.0,0.0,0.1610305958132045,0.03993100949138817,0.03620455573993061,0.033941771006184944,2.3379731156957524,79.92396508025908,0.345851867952951,0.15990345451802687,0.16593754714134862,2.437569912012182,84.11883976344691,0.42493925697180135,7102,3997,3105
78,ok,,ClassBalance,0.0001,0.9,0.1,0.9999,3,7102,7102,8.320933971275277,0.12672486623486343,0.0,0.0,0.12672486623486343,0.026328129707746378,0.0,0.0,0.10007505629221916,0.019947594923134408,0.0,0.0,0.1610305958132045,0.03454165548362208,0.042238648363252376,0.03771307889576105,2.799970949652226,60.28301886792453,0.6830678295793313,0.17498868607633128,0.17725147081007694,2.471482359538968,82.09659250915236,0.3982924731945281,7102,3997,3105
