method,head_share,head_fraction,num_seeds,num_head_items,num_tail_items,test_head_share,test_tail_share,lr,dropout,weight_decay,bbn_epochs,resample_head_fraction,best_val_HR@50,overall_HR@50,overall_NDCG@50,head_HR@50,head_NDCG@50,tail_HR@50,tail_NDCG@50,CatalogCoverage@50,TailCoverage@50,AvgPopularity@50,TailRatio@50,Personalization@50
BBN,0.100%,0.001,5,33,33112,2.72%,97.28%,0.001,0.3,0.001,40,0.2,0.43 ± 0.19,0.37 ± 0.21,0.11 ± 0.06,2.69 ± 2.58,0.85 ± 1.06,0.31 ± 0.16,0.09 ± 0.05,0.26 ± 0.04,0.25 ± 0.04,3.2540 ± 0.3989,98.53 ± 1.55,1.89 ± 0.41
BBN,0.500%,0.005,5,165,32980,6.51%,93.49%,0.001,0.3,0.001,40,0.2,0.43 ± 0.19,0.37 ± 0.21,0.11 ± 0.06,2.29 ± 1.40,0.78 ± 0.50,0.24 ± 0.13,0.06 ± 0.04,0.26 ± 0.04,0.24 ± 0.04,3.2540 ± 0.3989,91.56 ± 4.43,1.89 ± 0.41
BBN,1.000%,0.01,5,331,32814,10.41%,89.59%,0.001,0.3,0.001,40,0.2,0.43 ± 0.19,0.37 ± 0.21,0.11 ± 0.06,1.84 ± 1.03,0.61 ± 0.40,0.20 ± 0.12,0.05 ± 0.03,0.26 ± 0.04,0.24 ± 0.05,3.2540 ± 0.3989,88.04 ± 5.85,1.89 ± 0.41
BBN,5.000%,0.05,5,1657,31488,28.67%,71.33%,0.001,0.3,0.001,40,0.2,0.43 ± 0.19,0.37 ± 0.21,0.11 ± 0.06,1.02 ± 0.61,0.30 ± 0.20,0.11 ± 0.09,0.03 ± 0.03,0.26 ± 0.04,0.21 ± 0.05,3.2540 ± 0.3989,72.31 ± 13.31,1.89 ± 0.41
BBN,20.000%,0.2,5,6629,26516,53.66%,46.34%,0.001,0.3,0.001,40,0.2,0.43 ± 0.19,0.37 ± 0.21,0.11 ± 0.06,0.64 ± 0.37,0.19 ± 0.12,0.07 ± 0.04,0.02 ± 0.01,0.26 ± 0.04,0.18 ± 0.05,3.2540 ± 0.3989,54.77 ± 14.05,1.89 ± 0.41
