method,head_share,head_fraction,num_seeds,num_head_items,num_tail_items,test_head_share,test_tail_share,lr,dropout,weight_decay,logq_weight,best_val_HR@50,overall_HR@50,overall_NDCG@50,head_HR@50,head_NDCG@50,tail_HR@50,tail_NDCG@50,CatalogCoverage@50,TailCoverage@50,AvgPopularity@50,TailRatio@50,Personalization@50
LogQ,0.100%,0.001,5,33,33112,2.72%,97.28%,0.001,0.1,0.0,1.0,2.04 ± 0.16,1.73 ± 0.26,0.44 ± 0.07,4.46 ± 0.46,1.06 ± 0.11,1.66 ± 0.27,0.43 ± 0.07,20.50 ± 7.35,20.42 ± 7.36,4.2742 ± 0.1237,98.64 ± 0.40,98.34 ± 0.43
LogQ,0.500%,0.005,5,165,32980,6.46%,93.54%,0.001,0.1,0.0,1.0,2.04 ± 0.16,1.73 ± 0.26,0.44 ± 0.07,5.01 ± 0.69,1.24 ± 0.17,1.51 ± 0.27,0.39 ± 0.07,20.50 ± 7.35,20.11 ± 7.38,4.2742 ± 0.1237,93.54 ± 1.79,98.34 ± 0.43
LogQ,1.000%,0.01,5,331,32814,10.38%,89.62%,0.001,0.1,0.0,1.0,2.04 ± 0.16,1.73 ± 0.26,0.44 ± 0.07,4.97 ± 0.82,1.26 ± 0.22,1.36 ± 0.21,0.35 ± 0.05,20.50 ± 7.35,19.70 ± 7.42,4.2742 ± 0.1237,87.55 ± 3.15,98.34 ± 0.43
LogQ,5.000%,0.05,5,1657,31488,29.06%,70.94%,0.001,0.1,0.0,1.0,2.04 ± 0.16,1.73 ± 0.26,0.44 ± 0.07,4.76 ± 0.68,1.20 ± 0.20,0.50 ± 0.15,0.13 ± 0.04,20.50 ± 7.35,16.35 ± 7.72,4.2742 ± 0.1237,43.72 ± 9.47,98.34 ± 0.43
LogQ,20.000%,0.2,5,6629,26516,53.62%,46.38%,0.001,0.1,0.0,1.0,2.04 ± 0.16,1.73 ± 0.26,0.44 ± 0.07,3.22 ± 0.48,0.82 ± 0.12,0.01 ± 0.03,0.00 ± 0.01,20.50 ± 7.35,6.11 ± 5.06,4.2742 ± 0.1237,1.43 ± 1.10,98.34 ± 0.43
