method,head_share,head_fraction,num_seeds,num_head_items,num_tail_items,test_head_share,test_tail_share,lr,dropout,weight_decay,best_val_HR@50,overall_HR@50,overall_NDCG@50,head_HR@50,head_NDCG@50,tail_HR@50,tail_NDCG@50,CatalogCoverage@50,TailCoverage@50,AvgPopularity@50,TailRatio@50,Personalization@50
TwoTower,0.100%,0.001,5,33,33112,2.63%,97.37%,0.001,0.1,0.0,1.44 ± 0.10,1.37 ± 0.21,0.36 ± 0.06,0.64 ± 0.59,0.14 ± 0.13,1.39 ± 0.21,0.37 ± 0.06,99.62 ± 0.19,99.62 ± 0.19,2.5722 ± 0.0043,99.88 ± 0.01,99.81 ± 0.00
TwoTower,0.500%,0.005,5,165,32980,6.41%,93.59%,0.001,0.1,0.0,1.44 ± 0.10,1.37 ± 0.21,0.36 ± 0.06,0.97 ± 0.61,0.27 ± 0.18,1.39 ± 0.19,0.37 ± 0.06,99.62 ± 0.19,99.62 ± 0.19,2.5722 ± 0.0043,99.40 ± 0.03,99.81 ± 0.00
TwoTower,1.000%,0.01,5,331,32814,10.38%,89.62%,0.001,0.1,0.0,1.44 ± 0.10,1.37 ± 0.21,0.36 ± 0.06,0.76 ± 0.40,0.20 ± 0.12,1.44 ± 0.20,0.38 ± 0.06,99.62 ± 0.19,99.63 ± 0.19,2.5722 ± 0.0043,98.85 ± 0.05,99.81 ± 0.00
TwoTower,5.000%,0.05,5,1657,31488,28.58%,71.42%,0.001,0.1,0.0,1.44 ± 0.10,1.37 ± 0.21,0.36 ± 0.06,1.21 ± 0.22,0.33 ± 0.04,1.43 ± 0.25,0.37 ± 0.07,99.62 ± 0.19,99.64 ± 0.19,2.5722 ± 0.0043,94.63 ± 0.07,99.81 ± 0.00
TwoTower,20.000%,0.2,5,6629,26516,53.51%,46.49%,0.001,0.1,0.0,1.44 ± 0.10,1.37 ± 0.21,0.36 ± 0.06,1.11 ± 0.13,0.32 ± 0.04,1.66 ± 0.33,0.42 ± 0.10,99.62 ± 0.19,99.66 ± 0.18,2.5722 ± 0.0043,79.07 ± 0.22,99.81 ± 0.00
