trial,status,error,lr,dropout,weight_decay,tune_epochs,val_subset_size,val_full_size,final_train_loss,val_HR@50,val_overall_HR@10,val_overall_NDCG@10,val_overall_HR@50,val_overall_NDCG@50,val_head_HR@10,val_head_NDCG@10,val_head_HR@50,val_head_NDCG@50,val_tail_HR@10,val_tail_NDCG@10,val_tail_HR@50,val_tail_NDCG@50,val_CatalogCoverage@10,val_TailCoverage@10,val_AvgPopularity@10,val_TailRatio@10,val_Personalization@10,val_CatalogCoverage@50,val_TailCoverage@50,val_AvgPopularity@50,val_TailRatio@50,val_Personalization@50,val_count_overall,val_count_head,val_count_tail
10,ok,,0.001,0.1,0.0,3,7102,7102,7.990108872757477,0.5773021684032666,0.09856378484933823,0.04419486077564453,0.5773021684032666,0.14299110000443613,0.05033979360684621,0.01947409047241589,0.5033979360684621,0.11530923255159223,0.15979546180888463,0.07558368161767949,0.6711409395973155,0.17813972876447093,65.77462664051893,65.23985518177705,2.577316379080423,78.62855533652493,99.94054248292062,97.40534017197164,97.32614270629054,2.5741970120873847,78.93663756688257,99.80338830038534,7102,3973,3129
21,ok,,0.0001,0.1,0.001,3,7102,7102,8.248747377979512,0.38017459870459025,0.07040270346381301,0.024866410244076296,0.38017459870459025,0.09112637639201243,0.10067958721369243,0.03186540285764658,0.3523785552479235,0.08443703205921785,0.03195909236177692,0.01597954618088846,0.4154682007031001,0.09962006927606255,48.251621662392516,48.18600090511389,2.559817840508335,80.09856378484935,99.68969787851204,86.53190526474582,86.68728314979634,2.556622260716198,80.19938045620952,99.28085989134287,7102,3973,3129
27,ok,,0.0001,0.7,0.001,3,7102,7102,8.318084249691088,0.38017459870459025,0.08448324415657561,0.044401334699619335,0.38017459870459025,0.1041050206614354,0.15101938082053865,0.07937031941522692,0.6544173168890007,0.18156323283962872,0.0,0.0,0.03195909236177692,0.005753637796634473,0.04525569467491326,0.01508523155830442,3.681651882979775,20.544916924809915,2.145949751604659,0.21119324181626187,0.09051138934982653,3.6275287190754395,34.82343001971276,2.312031682227844,7102,3973,3129
24,ok,,0.0001,0.3,0.001,3,7102,7102,8.317838947789198,0.35201351731906505,0.042241622078287806,0.014330928763812999,0.35201351731906505,0.07964327351604177,0.05033979360684621,0.015880436787602755,0.47822803926503904,0.1071239770721006,0.03195909236177692,0.012363464596821399,0.19175455417066153,0.044750069544094925,0.04827274098657414,0.033941771006184944,3.5613904688337352,50.263306110954666,1.8145765897537247,0.19610801025795746,0.1621662392517725,3.0319068403580234,67.98310335116868,0.9073303719186132,7102,3973,3129
19,ok,,0.0001,0.1,0.0,3,7102,7102,8.289342049838734,0.33793297662630245,0.09856378484933823,0.03482270952600825,0.33793297662630245,0.08917454320589234,0.10067958721369243,0.036543989285307055,0.3523785552479235,0.09366930375555135,0.09587727708533077,0.03263714081917086,0.31959092361776925,0.08346738959010606,57.14285714285714,57.229597224317395,2.5628580798769227,79.42692199380457,99.89353279040863,90.92774174083573,90.9413184492382,2.576751716819136,78.8760912419037,99.64742905110798,7102,3973,3129
25,ok,,0.0001,0.7,0.0,3,7102,7102,8.318747500984037,0.28161081385525205,0.028161081385525203,0.018522456727481398,0.28161081385525205,0.07705744891563154,0.025169896803423106,0.025169896803423106,0.37754845205134663,0.10561079636768017,0.03195909236177692,0.010081971134091683,0.15979546180888463,0.040802271725798,0.04827274098657414,0.041484386785337155,2.9638347161072316,70.24218529991552,1.64813472394586,0.2534318901795143,0.2413637049328707,2.7482117338561523,76.26921993804562,1.404251351670438,7102,3973,3129
1,ok,,0.01,0.1,0.0,3,7102,7102,8.052880345558634,0.26753027316248945,0.07040270346381301,0.04228875921830825,0.26753027316248945,0.0825314195296458,0.07550969041026932,0.060076838843054155,0.17618927762396175,0.07954874320436427,0.06391818472355384,0.019702616569182162,0.38350910834132307,0.0863186272766396,13.799969829536884,14.685472922009351,2.4212239331685597,86.60940580118277,99.21846237481634,38.54276663146779,39.99472016895459,2.4629488350388846,84.40946212334553,98.8430889212418,7102,3973,3129
22,ok,,0.0001,0.3,0.0,3,7102,7102,8.317866098313104,0.19712756969867645,0.08448324415657561,0.04782065384596212,0.19712756969867645,0.0721859314400412,0.15101938082053865,0.08548257830707852,0.27686886483765416,0.11215951714746873,0.0,0.0,0.09587727708533077,0.021430081003604808,1.0318298385880225,1.0446522854125813,2.7947261379439667,69.37904815544917,37.38324741248997,3.717001055966209,3.8014783526927136,2.6016175329535214,77.81272880878626,37.15130741617577,7102,3973,3129
4,ok,,0.01,0.3,0.0,3,7102,7102,8.317769855058112,0.15488594762038863,0.042241622078287806,0.018019261668410586,0.15488594762038863,0.03911198066877118,0.0,0.0,0.07550969041026932,0.014744507928631141,0.09587727708533077,0.04089894418953403,0.2556727388942154,0.07005220732156006,0.3620455573993061,0.44501433096998044,2.067169081594247,99.9943677837229,52.17984933246419,1.3124151455724846,1.550007542615779,2.216105113535464,92.27738665164742,48.067534960727365,7102,3973,3129
7,ok,,0.01,0.7,0.0,3,7102,7102,8.317799444912243,0.15488594762038863,0.014080540692762602,0.007040270346381301,0.15488594762038863,0.03619787362924707,0.0,0.0,0.07550969041026932,0.0165229635445722,0.03195909236177692,0.01597954618088846,0.2556727388942154,0.06117979046095473,0.03620455573993061,0.04525569467491326,2.098317415393759,100.0,0.25170359472376225,0.16593754714134862,0.18856539447880524,2.089215003362485,91.82511968459589,0.46528396193301624,7102,3973,3129
